mass,z,fov,mlt,age,log_k,teff,lum
11.2,0.01,0.025,1.4,16892750.0,-2.40328,24384.605598,16130.86
11.2,0.01,0.025,1.6,14421660.0,-2.310305,25534.458479,13894.47
11.2,0.01,0.025,1.6,14696520.0,-2.31925,25437.211027,14108.83
11.2,0.01,0.025,1.6,14965070.0,-2.328254,25336.131653,14325.23
11.2,0.01,0.025,1.6,15226760.0,-2.337337,25232.469922,14544.13
11.2,0.01,0.025,1.6,15482210.0,-2.346509,25124.883145,14765.43
11.2,0.01,0.025,1.6,15731790.0,-2.355759,25013.19879,14988.78
11.2,0.01,0.025,1.6,15974950.0,-2.365064,24898.595742,15213.89
11.2,0.01,0.025,1.6,16212130.0,-2.374436,24780.359542,15440.74
11.2,0.01,0.025,1.6,16443850.0,-2.38389,24657.724568,15669.32
11.2,0.01,0.025,1.6,16669730.0,-2.393413,24531.17497,15899.36
11.2,0.01,0.025,1.6,16889500.0,-2.40298,24401.999258,16130.7
11.2,0.01,0.025,1.8,14348610.0,-2.307976,25565.792491,13839.97
11.2,0.01,0.025,1.8,14625600.0,-2.316918,25469.227326,14054.15
11.2,0.01,0.025,1.8,14895990.0,-2.325914,25370.778946,14270.78
11.2,0.01,0.025,1.8,15160600.0,-2.335002,25267.417215,14489.58
11.2,0.01,0.025,1.8,15419300.0,-2.344202,25159.965128,14711.77
11.2,0.01,0.025,1.8,15670900.0,-2.35345,25049.986405,14935.51
11.2,0.01,0.025,1.8,15916290.0,-2.362759,24936.237818,15160.85
11.2,0.01,0.025,1.8,16155990.0,-2.372145,24818.79457,15388.24
11.2,0.01,0.025,1.8,16389880.0,-2.381608,24697.399559,15617.48
11.2,0.01,0.025,1.8,16618030.0,-2.391145,24572.392471,15848.53
11.2,0.01,0.025,1.8,16840570.0,-2.400751,24443.10189,16080.86
11.2,0.01,0.025,1.8,17057440.0,-2.410431,24309.807147,16314.63
11.2,0.01,0.025,2.0,14420920.0,-2.310248,25547.632597,13897.25
11.2,0.01,0.025,2.0,14697530.0,-2.319247,25450.013395,14113.08
11.2,0.01,0.025,2.0,14967020.0,-2.328287,25349.993903,14330.75
11.2,0.01,0.025,2.0,15230090.0,-2.33739,25246.073364,14550.59
11.2,0.01,0.025,2.0,15487110.0,-2.346615,25138.064429,14773.43
11.2,0.01,0.025,2.0,15737500.0,-2.355893,25027.244441,14998.17
11.2,0.01,0.025,2.0,15981810.0,-2.365236,24912.663987,15224.62
11.2,0.01,0.025,2.0,16220470.0,-2.37466,24793.77512,15452.93
11.2,0.01,0.025,2.0,16453040.0,-2.384151,24671.040609,15682.82
11.2,0.01,0.025,2.0,16679330.0,-2.393681,24545.768039,15914.06
11.2,0.01,0.025,2.0,16900280.0,-2.403297,24416.283385,16147.05
11.2,0.01,0.025,2.2,14401140.0,-2.309605,25559.514116,13883.47
11.2,0.01,0.025,2.2,14678740.0,-2.318612,25462.756176,14099.86
11.2,0.01,0.025,2.2,14949440.0,-2.327666,25362.860751,14317.96
11.2,0.01,0.025,2.2,15213930.0,-2.336804,25258.858917,14538.35
11.2,0.01,0.025,2.2,15471840.0,-2.346038,25151.699517,14761.84
11.2,0.01,0.025,2.2,15723350.0,-2.355332,25041.149955,14987.16
11.2,0.01,0.025,2.2,15969080.0,-2.364679,24926.231569,15214.36
11.2,0.01,0.025,2.2,16208670.0,-2.374122,24807.454198,15443.29
11.2,0.01,0.025,2.2,16441790.0,-2.383606,24686.04286,15673.68
11.2,0.01,0.025,2.2,16669290.0,-2.393169,24560.34879,15905.75
11.2,0.01,0.025,2.2,16891500.0,-2.402819,24430.318205,16139.58
11.2,0.01,0.025,2.4,14412140.0,-2.310108,25547.589361,13892.51
11.2,0.01,0.025,2.4,14688320.0,-2.319088,25450.006295,14107.84
11.2,0.01,0.025,2.4,14957310.0,-2.328102,25350.329915,14324.93
11.2,0.01,0.025,2.4,15220080.0,-2.337203,25246.469458,14544.34
11.2,0.01,0.025,2.4,15476920.0,-2.346413,25138.537872,14766.79
11.2,0.01,0.025,2.4,15727060.0,-2.355672,25028.101125,14991.13
11.2,0.01,0.025,2.4,15971320.0,-2.365,24913.595206,15217.21
11.2,0.01,0.025,2.4,16210040.0,-2.374414,24795.326996,15445.56
11.2,0.01,0.025,2.4,16442970.0,-2.383892,24673.256888,15675.77
11.2,0.01,0.025,2.4,16670300.0,-2.393459,24547.376313,15907.89
11.2,0.01,0.025,2.4,16892130.0,-2.4031,24417.216229,16141.42
11.2,0.01,0.025,2.6,14451540.0,-2.31201,25462.253244,13906.48
11.2,0.01,0.025,2.6,14719340.0,-2.32079,25363.521592,14115.33
11.2,0.01,0.025,2.6,14980500.0,-2.329632,25261.943734,14326.3
11.2,0.01,0.025,2.6,15235230.0,-2.338551,25157.361431,14539.76
11.2,0.01,0.025,2.6,15484280.0,-2.347547,25048.604733,14755.07
11.2,0.01,0.025,2.6,15727370.0,-2.356608,24936.139678,14972.06
11.2,0.01,0.025,2.6,15964030.0,-2.365708,24821.163034,15190.45
11.2,0.01,0.025,2.6,16195040.0,-2.374874,24702.289701,15410.34
11.2,0.01,0.025,2.6,16420810.0,-2.384106,24579.844073,15632.12
11.2,0.01,0.025,2.6,16641220.0,-2.393427,24452.933448,15855.25
11.2,0.01,0.025,2.6,16855950.0,-2.402799,24323.599178,16079.95
11.2,0.01,0.025,2.8,14564160.0,-2.316187,25351.084863,13975.04
11.2,0.01,0.025,2.8,14821530.0,-2.324782,25251.446981,14178.42
11.2,0.01,0.025,2.8,15073150.0,-2.333472,25147.670004,14384.13
11.2,0.01,0.025,2.8,15319200.0,-2.342231,25040.243982,14591.63
11.2,0.01,0.025,2.8,15558880.0,-2.351026,24930.418345,14800.52
